hidden_layers,activation_function,epochs,learning_rate,batch_size,accuracy
[4],Identity,10,0.01,256,0.8097560975609757
[4],Identity,10,0.01,512,0.7658536585365854
[4],Identity,10,0.001,16,0.8048780487804879
[4],Identity,10,0.001,32,0.8195121951219512
[4],Identity,10,0.001,64,0.7414634146341463
[4],Identity,10,0.001,128,0.7317073170731707
[4],Identity,10,0.001,256,0.6146341463414634
[4],Identity,10,0.001,512,0.6195121951219512
[4],Identity,10,0.0001,16,0.624390243902439
[4],Identity,10,0.0001,32,0.5073170731707317
[4],Identity,10,0.0001,64,0.6439024390243903
[4],Identity,10,0.0001,128,0.5024390243902439
[4],Identity,10,0.0001,256,0.4926829268292683
[4],Identity,10,0.0001,512,0.7219512195121951
[4],Identity,25,10.0,16,0.7804878048780488
[4],Identity,25,10.0,32,0.6390243902439025
[4],Identity,25,10.0,64,0.7902439024390244
[4],Identity,25,10.0,128,0.7317073170731707
[4],Identity,25,10.0,256,0.7707317073170732
[4],Identity,25,10.0,512,0.8
[4],Identity,25,1.0,16,0.8048780487804879
[4],Identity,25,1.0,32,0.8
[4],Identity,25,1.0,64,0.7560975609756098
[4],Identity,25,1.0,128,0.7902439024390244
[4],Identity,25,1.0,256,0.775609756097561
[4],Identity,25,1.0,512,0.7268292682926829
[4],Identity,25,0.1,16,0.8048780487804879
[4],Identity,25,0.1,32,0.7902439024390244
[4],Identity,25,0.1,64,0.8195121951219512
[4],Identity,25,0.1,128,0.7853658536585366
[4],Identity,25,0.1,256,0.7902439024390244
[4],Identity,25,0.1,512,0.8
[4],Identity,25,0.01,16,0.7853658536585366
[4],Identity,25,0.01,32,0.8
[4],Identity,25,0.01,64,0.7804878048780488
[4],Identity,25,0.01,128,0.7804878048780488
[4],Identity,25,0.01,256,0.7853658536585366
[4],Identity,25,0.01,512,0.8097560975609757
[4],Identity,25,0.001,16,0.7902439024390244
[4],Identity,25,0.001,32,0.7951219512195122
[4],Identity,25,0.001,64,0.7853658536585366
[4],Identity,25,0.001,128,0.7853658536585366
[4],Identity,25,0.001,256,0.7414634146341463
[4],Identity,25,0.001,512,0.6682926829268293
[4],Identity,25,0.0001,16,0.7804878048780488
[4],Identity,25,0.0001,32,0.697560975609756
[4],Identity,25,0.0001,64,0.551219512195122
[4],Identity,25,0.0001,128,0.526829268292683
[4],Identity,25,0.0001,256,0.5024390243902439
[4],Identity,25,0.0001,512,0.5756097560975609
[4],Identity,50,10.0,16,0.7707317073170732
[4],Identity,50,10.0,32,0.8097560975609757
[4],Identity,50,10.0,64,0.7073170731707317
[4],Identity,50,10.0,128,0.6731707317073171
[4],Identity,50,10.0,256,0.7219512195121951
[4],Identity,50,10.0,512,0.7463414634146341
[4],Identity,50,1.0,16,0.8097560975609757
[4],Identity,50,1.0,32,0.7853658536585366
[4],Identity,50,1.0,64,0.775609756097561
[4],Identity,50,1.0,128,0.8048780487804879
[4],Identity,50,1.0,256,0.7707317073170732
[4],Identity,50,1.0,512,0.7951219512195122
[4],Identity,50,0.1,16,0.7804878048780488
[4],Identity,50,0.1,32,0.8
[4],Identity,50,0.1,64,0.8
[4],Identity,50,0.1,128,0.7853658536585366
[4],Identity,50,0.1,256,0.7951219512195122
[4],Identity,50,0.1,512,0.8048780487804879
[4],Identity,50,0.01,16,0.8
[4],Identity,50,0.01,32,0.7902439024390244
[4],Identity,50,0.01,64,0.7902439024390244
[4],Identity,50,0.01,128,0.8048780487804879
[4],Identity,50,0.01,256,0.7804878048780488
[4],Identity,50,0.01,512,0.7951219512195122
[4],Identity,50,0.001,16,0.7951219512195122
[4],Identity,50,0.001,32,0.7951219512195122
[4],Identity,50,0.001,64,0.7951219512195122
[4],Identity,50,0.001,128,0.7853658536585366
[4],Identity,50,0.001,256,0.775609756097561
[4],Identity,50,0.001,512,0.7707317073170732
[4],Identity,50,0.0001,16,0.7707317073170732
[4],Identity,50,0.0001,32,0.7707317073170732
[4],Identity,50,0.0001,64,0.7414634146341463
[4],Identity,50,0.0001,128,0.47317073170731705
[4],Identity,50,0.0001,256,0.3951219512195122
[4],Identity,50,0.0001,512,0.5073170731707317
[4],Identity,100,10.0,16,0.7317073170731707
[4],Identity,100,10.0,32,0.8146341463414634
[4],Identity,100,10.0,64,0.7951219512195122
[4],Identity,100,10.0,128,0.7073170731707317
[4],Identity,100,10.0,256,0.751219512195122
[4],Identity,100,10.0,512,0.8048780487804879
[4],Identity,100,1.0,16,0.7170731707317073
[4],Identity,100,1.0,32,0.6585365853658537
[4],Identity,100,1.0,64,0.8097560975609757
[4],Identity,100,1.0,128,0.7853658536585366
[4],Identity,100,1.0,256,0.7804878048780488
[4],Identity,100,1.0,512,0.775609756097561
[4],Identity,100,0.1,16,0.775609756097561
[4],Identity,100,0.1,32,0.8097560975609757
[4],Identity,100,0.1,64,0.8
[4],Identity,100,0.1,128,0.775609756097561
[4],Identity,100,0.1,256,0.8
[4],Identity,100,0.1,512,0.7951219512195122
[4],Identity,100,0.01,16,0.7902439024390244
[4],Identity,100,0.01,32,0.7902439024390244
[4],Identity,100,0.01,64,0.7951219512195122
[4],Identity,100,0.01,128,0.7853658536585366
[4],Identity,100,0.01,256,0.7951219512195122
[4],Identity,100,0.01,512,0.7951219512195122
[4],Identity,100,0.001,16,0.7951219512195122
[4],Identity,100,0.001,32,0.7951219512195122
[4],Identity,100,0.001,64,0.7951219512195122
[4],Identity,100,0.001,128,0.7951219512195122
[4],Identity,100,0.001,256,0.8048780487804879
[4],Identity,100,0.001,512,0.775609756097561
[4],Identity,100,0.0001,16,0.7951219512195122
[4],Identity,100,0.0001,32,0.7804878048780488
[4],Identity,100,0.0001,64,0.8048780487804879
[4],Identity,100,0.0001,128,0.6439024390243903
[4],Identity,100,0.0001,256,0.6097560975609756
[4],Identity,100,0.0001,512,0.624390243902439
[4],Identity,250,10.0,16,0.7073170731707317
[4],Identity,250,10.0,32,0.7560975609756098
[4],Identity,250,10.0,64,0.7902439024390244
[4],Identity,250,10.0,128,0.775609756097561
[4],Identity,250,10.0,256,0.7317073170731707
[4],Identity,250,10.0,512,0.7951219512195122
[4],Identity,250,1.0,16,0.7707317073170732
[4],Identity,250,1.0,32,0.775609756097561
[4],Identity,250,1.0,64,0.7414634146341463
[4],Identity,250,1.0,128,0.7707317073170732
[4],Identity,250,1.0,256,0.7902439024390244
[4],Identity,250,1.0,512,0.7951219512195122
[4],Identity,250,0.1,16,0.7951219512195122
[4],Identity,250,0.1,32,0.8097560975609757
[4],Identity,250,0.1,64,0.7609756097560976
[4],Identity,250,0.1,128,0.8
[4],Identity,250,0.1,256,0.7853658536585366
[4],Identity,250,0.1,512,0.7951219512195122
[4],Identity,250,0.01,16,0.7951219512195122
[4],Identity,250,0.01,32,0.7951219512195122
[4],Identity,250,0.01,64,0.7902439024390244
[4],Identity,250,0.01,128,0.7902439024390244
[4],Identity,250,0.01,256,0.7951219512195122
[4],Identity,250,0.01,512,0.7951219512195122
[4],Identity,250,0.001,16,0.7951219512195122
[4],Identity,250,0.001,32,0.7951219512195122
[4],Identity,250,0.001,64,0.7951219512195122
[4],Identity,250,0.001,128,0.7951219512195122
[4],Identity,250,0.001,256,0.7951219512195122
[4],Identity,250,0.001,512,0.7951219512195122
[4],Identity,250,0.0001,16,0.7951219512195122
[4],Identity,250,0.0001,32,0.8
[4],Identity,250,0.0001,64,0.8
[4],Identity,250,0.0001,128,0.7902439024390244
[4],Identity,250,0.0001,256,0.7609756097560976
[4],Identity,250,0.0001,512,0.7414634146341463
[4],Sigmoid,1,10.0,16,0.6195121951219512
[4],Sigmoid,1,10.0,32,0.697560975609756
