hidden_layers,activation_fn,learning_rate,batch_size,epochs,test_loss,test_accuracy
[4],ReLU,0.1,256,250,0.3348282277584076,0.8650000095367432
[4],ReLU,0.1,512,1,0.5093066096305847,0.6850000023841858
[4],ReLU,0.1,512,10,0.35086676478385925,0.8600000143051147
[4],ReLU,0.1,512,25,0.33742061257362366,0.8575000166893005
[4],ReLU,0.1,512,50,0.35560059547424316,0.8450000286102295
[4],ReLU,0.1,512,100,0.3351662755012512,0.8525000214576721
[4],ReLU,0.1,512,250,0.37704703211784363,0.8174999952316284
[4],ReLU,0.01,16,1,0.3635951280593872,0.8500000238418579
[4],ReLU,0.01,16,10,0.3471585810184479,0.8650000095367432
[4],ReLU,0.01,16,25,0.3437594175338745,0.8575000166893005
[4],ReLU,0.01,16,50,0.34614139795303345,0.8525000214576721
[4],ReLU,0.01,16,100,0.34808146953582764,0.8424999713897705
[4],ReLU,0.01,16,250,0.35383474826812744,0.8550000190734863
[4],ReLU,0.01,32,1,0.4631136953830719,0.6850000023841858
[4],ReLU,0.01,32,10,0.3454799950122833,0.8600000143051147
[4],ReLU,0.01,32,25,0.3372335433959961,0.8675000071525574
[4],ReLU,0.01,32,50,0.3325081169605255,0.862500011920929
[4],ReLU,0.01,32,100,0.3433988690376282,0.8450000286102295
[4],ReLU,0.01,32,250,0.335454523563385,0.862500011920929
[4],ReLU,0.01,64,1,0.5130603909492493,0.7724999785423279
[4],ReLU,0.01,64,10,0.3475303649902344,0.8650000095367432
[4],ReLU,0.01,64,25,0.3584703803062439,0.8500000238418579
[4],ReLU,0.01,64,50,0.33712974190711975,0.8575000166893005
[4],ReLU,0.01,64,100,0.3381812572479248,0.8500000238418579
[4],ReLU,0.01,64,250,0.32750359177589417,0.8500000238418579
[4],ReLU,0.01,128,1,0.5413411855697632,0.7400000095367432
[4],ReLU,0.01,128,10,0.35496824979782104,0.8600000143051147
[4],ReLU,0.01,128,25,0.34991347789764404,0.8600000143051147
[4],ReLU,0.01,128,50,0.34940528869628906,0.8475000262260437
[4],ReLU,0.01,128,100,0.34798526763916016,0.8600000143051147
[4],ReLU,0.01,128,250,0.334829717874527,0.862500011920929
[4],ReLU,0.01,256,1,0.5325026512145996,0.7049999833106995
[4],ReLU,0.01,256,10,0.41001906991004944,0.8600000143051147
[4],ReLU,0.01,256,25,0.34903666377067566,0.8500000238418579
[4],ReLU,0.01,256,50,0.34520915150642395,0.8600000143051147
[4],ReLU,0.01,256,100,0.34206822514533997,0.8424999713897705
[4],ReLU,0.01,256,250,0.3387344479560852,0.8475000262260437
[4],ReLU,0.01,512,1,0.6662609577178955,0.612500011920929
[4],ReLU,0.01,512,10,0.5396125316619873,0.7099999785423279
[4],ReLU,0.01,512,25,0.3530070185661316,0.8650000095367432
[4],ReLU,0.01,512,50,0.3413219451904297,0.8575000166893005
[4],ReLU,0.01,512,100,0.3484276235103607,0.8525000214576721
[4],ReLU,0.01,512,250,0.3447391986846924,0.8575000166893005
[4],ReLU,0.001,16,1,0.6346508860588074,0.625
[4],ReLU,0.001,16,10,0.3804595172405243,0.8274999856948853
[4],ReLU,0.001,16,25,0.36772578954696655,0.8475000262260437
[4],ReLU,0.001,16,50,0.3417452871799469,0.8525000214576721
[4],ReLU,0.001,16,100,0.3436131179332733,0.8500000238418579
[4],ReLU,0.001,16,250,0.3442414402961731,0.8500000238418579
[4],ReLU,0.001,32,1,0.6920055150985718,0.5525000095367432
[4],ReLU,0.001,32,10,0.4415103495121002,0.8199999928474426
[4],ReLU,0.001,32,25,0.3474826514720917,0.8575000166893005
[4],ReLU,0.001,32,50,0.35016608238220215,0.8550000190734863
[4],ReLU,0.001,32,100,0.33912765979766846,0.862500011920929
[4],ReLU,0.001,32,250,0.356853187084198,0.8399999737739563
[4],ReLU,0.001,64,1,0.6207616925239563,0.6850000023841858
[4],ReLU,0.001,64,10,0.46640658378601074,0.8100000023841858
[4],ReLU,0.001,64,25,0.4014325737953186,0.8600000143051147
[4],ReLU,0.001,64,50,0.3467690646648407,0.8575000166893005
[4],ReLU,0.001,64,100,0.3499942123889923,0.8500000238418579
[4],ReLU,0.001,64,250,0.3458835482597351,0.8575000166893005
[4],ReLU,0.001,128,1,0.7353267669677734,0.47999998927116394
[4],ReLU,0.001,128,10,0.5209931135177612,0.8174999952316284
[4],ReLU,0.001,128,25,0.4443737864494324,0.8349999785423279
[4],ReLU,0.001,128,50,0.3612561523914337,0.8525000214576721
[4],ReLU,0.001,128,100,0.35349318385124207,0.8349999785423279
[4],ReLU,0.001,128,250,0.34880149364471436,0.8475000262260437
[4],ReLU,0.001,256,1,0.7284480333328247,0.3174999952316284
[4],ReLU,0.001,256,10,0.6344470381736755,0.6850000023841858
[4],ReLU,0.001,256,25,0.5590517520904541,0.7699999809265137
[4],ReLU,0.001,256,50,0.41576069593429565,0.8450000286102295
[4],ReLU,0.001,256,100,0.35755279660224915,0.862500011920929
[4],ReLU,0.001,256,250,0.34193164110183716,0.8500000238418579
[4],ReLU,0.001,512,1,0.8237628936767578,0.3149999976158142
[4],ReLU,0.001,512,10,0.6848207712173462,0.5699999928474426
[4],ReLU,0.001,512,25,0.6394959092140198,0.6274999976158142
[4],ReLU,0.001,512,50,0.5354148745536804,0.7724999785423279
[4],ReLU,0.001,512,100,0.37936270236968994,0.8374999761581421
[4],ReLU,0.001,512,250,0.35133111476898193,0.8600000143051147
[4],ReLU,0.0001,16,1,0.6188248991966248,0.7524999976158142
[4],ReLU,0.0001,16,10,0.6373680233955383,0.6850000023841858
[4],ReLU,0.0001,16,25,0.45690086483955383,0.824999988079071
[4],ReLU,0.0001,16,50,0.43664848804473877,0.8550000190734863
[4],ReLU,0.0001,16,100,0.3648795783519745,0.8450000286102295
[4],ReLU,0.0001,16,250,0.348464697599411,0.8525000214576721
[4],ReLU,0.0001,32,1,0.7439132928848267,0.5049999952316284
[4],ReLU,0.0001,32,10,0.6200748085975647,0.6924999952316284
[4],ReLU,0.0001,32,25,0.5786236524581909,0.8025000095367432
[4],ReLU,0.0001,32,50,0.555855393409729,0.762499988079071
[4],ReLU,0.0001,32,100,0.3965483009815216,0.8324999809265137
[4],ReLU,0.0001,32,250,0.3545607626438141,0.8500000238418579
[4],ReLU,0.0001,64,1,0.752948522567749,0.5249999761581421
[4],ReLU,0.0001,64,10,0.743244469165802,0.3199999928474426
[4],ReLU,0.0001,64,25,0.5968056321144104,0.6850000023841858
[4],ReLU,0.0001,64,50,0.5664571523666382,0.7875000238418579
[4],ReLU,0.0001,64,100,0.5454652905464172,0.8100000023841858
[4],ReLU,0.0001,64,250,0.35211604833602905,0.8525000214576721
[4],ReLU,0.0001,128,1,0.9706049561500549,0.3149999976158142
[4],ReLU,0.0001,128,10,0.6699228882789612,0.6324999928474426
[4],ReLU,0.0001,128,25,0.722331702709198,0.375
[4],ReLU,0.0001,128,50,0.7635629177093506,0.3149999976158142
[4],ReLU,0.0001,128,100,0.5462878346443176,0.7325000166893005
[4],ReLU,0.0001,128,250,0.42947691679000854,0.8199999928474426
[4],ReLU,0.0001,256,1,0.7965637445449829,0.3675000071525574
[4],ReLU,0.0001,256,10,0.6576048135757446,0.6850000023841858
[4],ReLU,0.0001,256,25,0.5855118036270142,0.6850000023841858
[4],ReLU,0.0001,256,50,0.6445915102958679,0.6100000143051147
[4],ReLU,0.0001,256,100,0.5738885998725891,0.6949999928474426
[4],ReLU,0.0001,256,250,0.6737828850746155,0.5325000286102295
[4],ReLU,0.0001,512,1,0.897016704082489,0.3149999976158142
[4],ReLU,0.0001,512,10,0.8055257201194763,0.3149999976158142
[4],ReLU,0.0001,512,25,0.8158690929412842,0.3799999952316284
[4],ReLU,0.0001,512,50,0.7550801634788513,0.4025000035762787
[4],ReLU,0.0001,512,100,0.6241269111633301,0.7149999737739563
[4],ReLU,0.0001,512,250,0.5897567272186279,0.6850000023841858
[4],Sigmoid,10.0,16,1,3.5627634525299072,0.7425000071525574
[4],Sigmoid,10.0,16,10,3.2497332096099854,0.550000011920929
[4],Sigmoid,10.0,16,25,1.4298063516616821,0.6324999928474426
[4],Sigmoid,10.0,16,50,0.8484145998954773,0.5274999737739563
[4],Sigmoid,10.0,16,100,1.023249864578247,0.7024999856948853
[4],Sigmoid,10.0,16,250,0.975940465927124,0.6875
[4],Sigmoid,10.0,32,1,1.0441334247589111,0.6424999833106995
[4],Sigmoid,10.0,32,10,1.274438738822937,0.6775000095367432
[4],Sigmoid,10.0,32,25,0.5790666341781616,0.6850000023841858
[4],Sigmoid,10.0,32,50,0.5758458971977234,0.6850000023841858
[4],Sigmoid,10.0,32,100,0.8113468885421753,0.6850000023841858
[4],Sigmoid,10.0,32,250,1.3075937032699585,0.6850000023841858
[4],Sigmoid,10.0,64,1,2.8188858032226562,0.6524999737739563
[4],Sigmoid,10.0,64,10,0.5236514806747437,0.7699999809265137
[4],Sigmoid,10.0,64,25,0.5300151109695435,0.6850000023841858
[4],Sigmoid,10.0,64,50,0.6413950324058533,0.6850000023841858
[4],Sigmoid,10.0,64,100,0.6508545875549316,0.5375000238418579
[4],Sigmoid,10.0,64,250,1.0523765087127686,0.45500001311302185
[4],Sigmoid,10.0,128,1,5.214972496032715,0.4025000035762787
[4],Sigmoid,10.0,128,10,0.7342938780784607,0.6825000047683716
[4],Sigmoid,10.0,128,25,0.5687791109085083,0.6850000023841858
[4],Sigmoid,10.0,128,50,0.5440210700035095,0.6225000023841858
[4],Sigmoid,10.0,128,100,0.7307164072990417,0.6850000023841858
[4],Sigmoid,10.0,128,250,0.9624972343444824,0.6875
[4],Sigmoid,10.0,256,1,2.7113583087921143,0.6775000095367432
[4],Sigmoid,10.0,256,10,0.5510299801826477,0.6424999833106995
[4],Sigmoid,10.0,256,25,0.46923866868019104,0.8399999737739563
[4],Sigmoid,10.0,256,50,0.7187576293945312,0.5049999952316284
[4],Sigmoid,10.0,256,100,0.7105674147605896,0.38499999046325684
[4],Sigmoid,10.0,256,250,1.1616383790969849,0.3799999952316284
[4],Sigmoid,10.0,512,1,9.201798439025879,0.3149999976158142
[4],Sigmoid,10.0,512,10,0.5920730829238892,0.6850000023841858
[4],Sigmoid,10.0,512,25,0.5353903770446777,0.7425000071525574
[4],Sigmoid,10.0,512,50,0.7134206891059875,0.6324999928474426
[4],Sigmoid,10.0,512,100,0.5808951258659363,0.6850000023841858
[4],Sigmoid,10.0,512,250,1.2336516380310059,0.6924999952316284
[4],Sigmoid,1.0,16,1,0.4828420579433441,0.7850000262260437
[4],Sigmoid,1.0,16,10,0.5114926695823669,0.6775000095367432
[4],Sigmoid,1.0,16,25,0.4483635723590851,0.8374999761581421
[4],Sigmoid,1.0,16,50,0.4494516849517822,0.8274999856948853
[4],Sigmoid,1.0,16,100,0.647006630897522,0.6924999952316284
[4],Sigmoid,1.0,16,250,0.5091007947921753,0.7850000262260437
[4],Sigmoid,1.0,32,1,0.4839560389518738,0.7599999904632568
[4],Sigmoid,1.0,32,10,0.4383743405342102,0.8349999785423279
[4],Sigmoid,1.0,32,25,0.38476771116256714,0.8374999761581421
[4],Sigmoid,1.0,32,50,0.4100799858570099,0.8399999737739563
[4],Sigmoid,1.0,32,100,0.5082409381866455,0.7674999833106995
[4],Sigmoid,1.0,32,250,0.4653071165084839,0.8274999856948853
[4],Sigmoid,1.0,64,1,0.4694463610649109,0.7524999976158142
[4],Sigmoid,1.0,64,10,0.4348861575126648,0.8399999737739563
[4],Sigmoid,1.0,64,25,0.4038623869419098,0.8299999833106995
[4],Sigmoid,1.0,64,50,0.3382694721221924,0.8675000071525574
[4],Sigmoid,1.0,64,100,0.39975032210350037,0.8424999713897705
[4],Sigmoid,1.0,64,250,0.294414222240448,0.8575000166893005
[4],Sigmoid,1.0,128,1,0.4501796066761017,0.7975000143051147
[4],Sigmoid,1.0,128,10,0.41292622685432434,0.8349999785423279
[4],Sigmoid,1.0,128,25,0.3840578496456146,0.862500011920929
[4],Sigmoid,1.0,128,50,0.40371379256248474,0.7825000286102295
[4],Sigmoid,1.0,128,100,0.4083970785140991,0.824999988079071
[4],Sigmoid,1.0,128,250,0.41353100538253784,0.8149999976158142
[4],Sigmoid,1.0,256,1,0.44863370060920715,0.7649999856948853
[4],Sigmoid,1.0,256,10,0.3932543992996216,0.8424999713897705
[4],Sigmoid,1.0,256,25,0.368780255317688,0.8500000238418579
[4],Sigmoid,1.0,256,50,0.48803576827049255,0.7900000214576721
[4],Sigmoid,1.0,256,100,0.34486904740333557,0.8299999833106995
[4],Sigmoid,1.0,256,250,0.35324087738990784,0.8525000214576721
[4],Sigmoid,1.0,512,1,0.3955562710762024,0.7900000214576721
[4],Sigmoid,1.0,512,10,0.4450486898422241,0.7850000262260437
[4],Sigmoid,1.0,512,25,0.42701464891433716,0.7950000166893005
[4],Sigmoid,1.0,512,50,0.40626975893974304,0.8450000286102295
[4],Sigmoid,1.0,512,100,0.4066542387008667,0.8324999809265137
[4],Sigmoid,1.0,512,250,0.3952447772026062,0.8399999737739563
[4],Sigmoid,0.1,16,1,0.3696664571762085,0.8424999713897705
[4],Sigmoid,0.1,16,10,0.31032633781433105,0.8650000095367432
[4],Sigmoid,0.1,16,25,0.33398452401161194,0.8650000095367432
[4],Sigmoid,0.1,16,50,0.29241713881492615,0.8824999928474426
[4],Sigmoid,0.1,16,100,0.24309124052524567,0.8949999809265137
[4],Sigmoid,0.1,16,250,0.317347913980484,0.8500000238418579
[4],Sigmoid,0.1,32,1,0.35586413741111755,0.8424999713897705
[4],Sigmoid,0.1,32,10,0.33531638979911804,0.8475000262260437
[4],Sigmoid,0.1,32,25,0.29088130593299866,0.8650000095367432
[4],Sigmoid,0.1,32,50,0.27616795897483826,0.8725000023841858
[4],Sigmoid,0.1,32,100,0.2437257319688797,0.8999999761581421
[4],Sigmoid,0.1,32,250,0.2428823858499527,0.8774999976158142
[4],Sigmoid,0.1,64,1,0.35439398884773254,0.8324999809265137
[4],Sigmoid,0.1,64,10,0.3452835977077484,0.8600000143051147
[4],Sigmoid,0.1,64,25,0.30819171667099,0.862500011920929
[4],Sigmoid,0.1,64,50,0.25235316157341003,0.8774999976158142
[4],Sigmoid,0.1,64,100,0.2544242739677429,0.8799999952316284
[4],Sigmoid,0.1,64,250,0.2838286757469177,0.8725000023841858
[4],Sigmoid,0.1,128,1,0.4010368585586548,0.8500000238418579
[4],Sigmoid,0.1,128,10,0.34226754307746887,0.8424999713897705
[4],Sigmoid,0.1,128,25,0.3227059841156006,0.8700000047683716
[4],Sigmoid,0.1,128,50,0.24500784277915955,0.8924999833106995
[4],Sigmoid,0.1,128,100,0.24264998733997345,0.8924999833106995
[4],Sigmoid,0.1,128,250,0.21812574565410614,0.8924999833106995
[4],Sigmoid,0.1,256,1,0.4627833664417267,0.762499988079071
[4],Sigmoid,0.1,256,10,0.36015087366104126,0.8500000238418579
[4],Sigmoid,0.1,256,25,0.3003852963447571,0.862500011920929
[4],Sigmoid,0.1,256,50,0.24315713346004486,0.8899999856948853
[4],Sigmoid,0.1,256,100,0.2441769391298294,0.8899999856948853
[4],Sigmoid,0.1,256,250,0.21721674501895905,0.9024999737739563
[4],Sigmoid,0.1,512,1,0.4832105338573456,0.7649999856948853
[4],Sigmoid,0.1,512,10,0.35853615403175354,0.8725000023841858
[4],Sigmoid,0.1,512,25,0.31725865602493286,0.875
[4],Sigmoid,0.1,512,50,0.306106835603714,0.8525000214576721
[4],Sigmoid,0.1,512,100,0.2630414664745331,0.8799999952316284
[4],Sigmoid,0.1,512,250,0.28162240982055664,0.8824999928474426
[4],Sigmoid,0.01,16,1,0.4100205600261688,0.8600000143051147
[4],Sigmoid,0.01,16,10,0.3284604251384735,0.8675000071525574
[4],Sigmoid,0.01,16,25,0.28995007276535034,0.8700000047683716
[4],Sigmoid,0.01,16,50,0.26515236496925354,0.8675000071525574
[4],Sigmoid,0.01,16,100,0.24481730163097382,0.8924999833106995
[4],Sigmoid,0.01,16,250,0.24693793058395386,0.8899999856948853
[4],Sigmoid,0.01,32,1,0.4897429943084717,0.7124999761581421
[4],Sigmoid,0.01,32,10,0.3487260341644287,0.8600000143051147
[4],Sigmoid,0.01,32,25,0.3243533968925476,0.8774999976158142
[4],Sigmoid,0.01,32,50,0.2985062897205353,0.8600000143051147
[4],Sigmoid,0.01,32,100,0.2965467572212219,0.862500011920929
[4],Sigmoid,0.01,32,250,0.2506922483444214,0.8774999976158142
[4],Sigmoid,0.01,64,1,0.6979398131370544,0.33500000834465027
[4],Sigmoid,0.01,64,10,0.3501778841018677,0.8500000238418579
[4],Sigmoid,0.01,64,25,0.34988072514533997,0.8575000166893005
[4],Sigmoid,0.01,64,50,0.2973504364490509,0.875
[4],Sigmoid,0.01,64,100,0.26332882046699524,0.8700000047683716
[4],Sigmoid,0.01,64,250,0.22309564054012299,0.8949999809265137
[4],Sigmoid,0.01,128,1,0.5977479815483093,0.6850000023841858
[4],Sigmoid,0.01,128,10,0.35102760791778564,0.8475000262260437
[4],Sigmoid,0.01,128,25,0.34785184264183044,0.8500000238418579
[4],Sigmoid,0.01,128,50,0.3221482038497925,0.8799999952316284
[4],Sigmoid,0.01,128,100,0.30986645817756653,0.8650000095367432
[4],Sigmoid,0.01,128,250,0.2919999957084656,0.8650000095367432
[4],Sigmoid,0.01,256,1,0.7527916431427002,0.3149999976158142
[4],Sigmoid,0.01,256,10,0.4430800676345825,0.8550000190734863
[4],Sigmoid,0.01,256,25,0.34927821159362793,0.8450000286102295
[4],Sigmoid,0.01,256,50,0.35077130794525146,0.8575000166893005
[4],Sigmoid,0.01,256,100,0.32363221049308777,0.8675000071525574
[4],Sigmoid,0.01,256,250,0.27068933844566345,0.887499988079071
[4],Sigmoid,0.01,512,1,0.5980608463287354,0.6850000023841858
[4],Sigmoid,0.01,512,10,0.5308250188827515,0.6899999976158142
[4],Sigmoid,0.01,512,25,0.36351966857910156,0.8500000238418579
[4],Sigmoid,0.01,512,50,0.3517128825187683,0.8550000190734863
[4],Sigmoid,0.01,512,100,0.3462621569633484,0.8575000166893005
[4],Sigmoid,0.01,512,250,0.33468952775001526,0.8424999713897705
[4],Sigmoid,0.001,16,1,0.5774749517440796,0.6875
[4],Sigmoid,0.001,16,10,0.4261316955089569,0.8525000214576721
[4],Sigmoid,0.001,16,25,0.3654346764087677,0.8550000190734863
[4],Sigmoid,0.001,16,50,0.3474220633506775,0.8475000262260437
[4],Sigmoid,0.001,16,100,0.3374130129814148,0.8600000143051147
[4],Sigmoid,0.001,16,250,0.31908467411994934,0.8550000190734863
[4],Sigmoid,0.001,32,1,0.764404833316803,0.3149999976158142
[4],Sigmoid,0.001,32,10,0.5141523480415344,0.7350000143051147
[4],Sigmoid,0.001,32,25,0.39047878980636597,0.8600000143051147
[4],Sigmoid,0.001,32,50,0.3529171645641327,0.8475000262260437
[4],Sigmoid,0.001,32,100,0.34695708751678467,0.8500000238418579
[4],Sigmoid,0.001,32,250,0.3056536614894867,0.887499988079071
[4],Sigmoid,0.001,64,1,0.9340757727622986,0.3149999976158142
[4],Sigmoid,0.001,64,10,0.5255917906761169,0.7174999713897705
[4],Sigmoid,0.001,64,25,0.4399353265762329,0.8100000023841858
[4],Sigmoid,0.001,64,50,0.36221423745155334,0.8525000214576721
[4],Sigmoid,0.001,64,100,0.34684789180755615,0.8550000190734863
[4],Sigmoid,0.001,64,250,0.32422611117362976,0.8774999976158142
[4],Sigmoid,0.001,128,1,0.8039604425430298,0.3149999976158142
[4],Sigmoid,0.001,128,10,0.6350030899047852,0.7799999713897705
[4],Sigmoid,0.001,128,25,0.5298323631286621,0.7024999856948853
[4],Sigmoid,0.001,128,50,0.38588058948516846,0.8575000166893005
[4],Sigmoid,0.001,128,100,0.351891428232193,0.8475000262260437
[4],Sigmoid,0.001,128,250,0.34447556734085083,0.8575000166893005
[4],Sigmoid,0.001,256,1,0.7093608379364014,0.4099999964237213
[4],Sigmoid,0.001,256,10,0.6139864921569824,0.6850000023841858
[4],Sigmoid,0.001,256,25,0.6176453232765198,0.6850000023841858
[4],Sigmoid,0.001,256,50,0.49497276544570923,0.7475000023841858
[4],Sigmoid,0.001,256,100,0.4088190197944641,0.8650000095367432
[4],Sigmoid,0.001,256,250,0.3479449450969696,0.8500000238418579
[4],Sigmoid,0.001,512,1,0.6553494334220886,0.6850000023841858
[4],Sigmoid,0.001,512,10,0.6247842907905579,0.6850000023841858
[4],Sigmoid,0.001,512,25,0.6242724657058716,0.6850000023841858
[4],Sigmoid,0.001,512,50,0.5869153738021851,0.6850000023841858
[4],Sigmoid,0.001,512,100,0.4940096139907837,0.7524999976158142
[4],Sigmoid,0.001,512,250,0.3542000949382782,0.8475000262260437
[4],Sigmoid,0.0001,16,1,0.6860479116439819,0.6225000023841858
[4],Sigmoid,0.0001,16,10,0.6027716994285583,0.6850000023841858
[4],Sigmoid,0.0001,16,25,0.5734701156616211,0.6875
